Rank,Name,Release Year,IMDb Rating,No. of User ratings,Duration,Director,Stars,Budget (estimated),Worldwide Gross
117,Incendies,2010,8.2,"156,596",131 min,Denis Villeneuve,"('Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette')","$6,800,000","$7,099,598"
118,Snatch,2000,8.2,"797,461",104 min,Guy Ritchie,"('Jason Statham', 'Brad Pitt', 'Stephen Graham')","GBP6,000,000","$83,557,872"
119,Scarface,1983,8.2,"762,315","170 min
|
142 min
            (TV)",Brian De Palma,"('Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer')","$25,000,000","$65,884,703"
120,Toy Story 3,2010,8.2,"772,625",103 min,Lee Unkrich,"('Tom Hanks', 'Tim Allen', 'Joan Cusack')","$200,000,000","$1,066,970,811"
121,To Kill a Mockingbird,1962,8.2,"298,499",129 min,Robert Mulligan,"('Gregory Peck', 'John Megna', 'Frank Overton')","$2,000,000","$599,146"
122,Per qualche dollaro in più,1965,8.2,"237,796",132 min,Sergio Leone,"('Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè')","$600,000","$15,000,000"
123,Up,2009,8.2,"957,364",96 min,Pete Docter,"('Edward Asner', 'Jordan Nagai', 'John Ratzenberger')","$175,000,000","$735,099,102"
124,Indiana Jones and the Last Crusade,1989,8.2,"704,679",127 min,Steven Spielberg,"('Harrison Ford', 'Sean Connery', 'Alison Doody')","$48,000,000","$474,171,806"
125,L.A. Confidential,1997,8.2,"542,365",138 min,Curtis Hanson,"('Kevin Spacey', 'Russell Crowe', 'Guy Pearce')","$35,000,000","$126,216,940"
126,Heat,1995,8.2,"592,825",170 min,Michael Mann,"('Al Pacino', 'Robert De Niro', 'Val Kilmer')","$60,000,000","$187,436,818"
127,Rashomon,1950,8.2,"156,324",88 min,Akira Kurosawa,"('Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori')","$250,000","$46,808"
128,Yojinbo,1961,8.2,"114,087",110 min,Akira Kurosawa,"('Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai')",N/A,"$46,808"
129,Ran,1985,8.2,"115,945",162 min,Akira Kurosawa,"('Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu')","$11,500,000","$4,164,283"
130,Die Hard,1988,8.2,"806,973",132 min,John McTiernan,"('Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia')","$28,000,000","$141,603,197"
131,Monty Python and the Holy Grail,1975,8.2,"508,981",91 min,Terry Gilliam,"('Graham Chapman', 'John Cleese', 'Eric Idle')","GBP229,575","$1,940,906"
132,Green Book,2018,8.2,"408,946",130 min,Peter Farrelly,"('Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini')","$23,000,000","$321,752,656"
133,Der Untergang,2004,8.2,"337,032","156 min
|
178 min
            (extended)",Oliver Hirschbiegel,"('Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes')","EUR13,500,000","$92,181,574"
134,Batman Begins,2005,8.2,"1,337,276",140 min,Christopher Nolan,"('Christian Bale', 'Michael Caine', 'Ken Watanabe')","$150,000,000","$373,661,946"
135,Some Like It Hot,1959,8.2,"248,810",121 min,Billy Wilder,"('Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon')","$2,883,848","$195,088"
136,All About Eve,1950,8.2,"123,026",138 min,Joseph L. Mankiewicz,"('Bette Davis', 'Anne Baxter', 'George Sanders')","$1,400,000","$151,052"
137,Unforgiven,1992,8.2,"383,801",130 min,Clint Eastwood,"('Clint Eastwood', 'Gene Hackman', 'Morgan Freeman')","$14,400,000","$159,157,447"
138,Bacheha-Ye aseman,1997,8.2,"67,829",89 min,Majid Majidi,"('Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi')","$180,000","$933,933"
139,Hauru no ugoku shiro,2004,8.2,"347,220",119 min,Hayao Miyazaki,"('Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin')","$24,000,000","$236,214,446"
140,The Wolf of Wall Street,2013,8.2,"1,231,242","180 min
|
145 min
            (cut)
          |
240 min
            (rough cut)",Martin Scorsese,"('Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie')","$100,000,000","$392,000,694"
141,The Great Escape,1963,8.2,"229,363",172 min,John Sturges,"('Steve McQueen', 'James Garner', 'Richard Attenborough')","$4,000,000","$228,178"
142,Judgment at Nuremberg,1961,8.2,"71,510",179 min,Stanley Kramer,"('Spencer Tracy', 'Burt Lancaster', 'Richard Widmark')","$3,000,000","$12,180"
143,Casino,1995,8.2,"478,180",178 min,Martin Scorsese,"('Robert De Niro', 'Sharon Stone', 'Joe Pesci')","$52,000,000","$116,112,375"
144,The Treasure of the Sierra Madre,1948,8.2,"116,681",126 min,John Huston,"('Humphrey Bogart', 'Walter Huston', 'Tim Holt')","$3,000,000","$5,014,000"
145,Pan's Labyrinth,2006,8.2,"629,452","118 min
|
112 min",Guillermo del Toro,"('Ivana Baquero', 'Ariadna Gil', 'Sergi López')","$19,000,000","$83,850,267"
146,There Will Be Blood,2007,8.1,"531,912",158 min,Paul Thomas Anderson,"('Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds')","$25,000,000","$76,182,388"
147,A Beautiful Mind,2001,8.1,"867,649",135 min,Ron Howard,"('Russell Crowe', 'Ed Harris', 'Jennifer Connelly')","$58,000,000","$316,791,257"
148,El secreto de sus ojos,2009,8.1,"197,620",129 min,Juan José Campanella,"('Ricardo Darín', 'Soledad Villamil', 'Pablo Rago')","$2,000,000","$35,079,650"
149,Raging Bull,1980,8.1,"328,448","129 min
|
121 min
            (TV)",Martin Scorsese,"('Robert De Niro', 'Cathy Moriarty', 'Joe Pesci')","$18,000,000","$23,402,427"
150,Tonari no Totoro,1988,8.1,"302,212",86 min,Hayao Miyazaki,"('Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto')","$3,700,000","$30,550,727"
151,Chinatown,1974,8.1,"301,693",130 min,Roman Polanski,"('Jack Nicholson', 'Faye Dunaway', 'John Huston')","$6,000,000","$29,225,935"
152,"Lock, Stock and Two Smoking Barrels",1998,8.1,"545,742","107 min
|
120 min
            (director's cut)",Guy Ritchie,"('Jason Flemyng', 'Dexter Fletcher', 'Nick Moran')","GBP960,000","$3,753,929"
153,The Gold Rush,1925,8.1,"103,656","95 min
            (original)
          |
72 min
            (1942 re-release)
          |
81 min
            (edited)
          |
88 min
            (1925 reconstructed)",Charles Chaplin,"('Charles Chaplin', 'Mack Swain', 'Tom Murray')","$923,000","$26,916"
154,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"452,851",115 min,Martin McDonagh,"('Frances McDormand', 'Woody Harrelson', 'Sam Rockwell')","$15,000,000","$160,192,267"
155,Dial M for Murder,1954,8.1,"162,288",105 min,Alfred Hitchcock,"('Ray Milland', 'Grace Kelly', 'Robert Cummings')","$1,400,000","$18,924"
156,No Country for Old Men,2007,8.1,"881,308",122 min,Ethan Coen,"('Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin')","$25,000,000","$171,627,166"
157,Shutter Island,2010,8.1,"1,166,777",138 min,Martin Scorsese,"('Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo')","$80,000,000","$294,805,697"
158,Det sjunde inseglet,1957,8.1,"169,774",96 min,Ingmar Bergman,"('Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot')","$150,000","$230,571"
159,The Elephant Man,1980,8.1,"224,968",124 min,David Lynch,"('Anthony Hopkins', 'John Hurt', 'Anne Bancroft')","$5,000,000","$26,023,706"
160,The Thing,1982,8.1,"380,326","109 min
|
127 min
            (VHS)",John Carpenter,"('Kurt Russell', 'Wilford Brimley', 'Keith David')","$15,000,000","$19,632,053"
161,The Sixth Sense,1999,8.1,"927,193",107 min,M. Night Shyamalan,"('Bruce Willis', 'Haley Joel Osment', 'Toni Collette')","$40,000,000","$672,806,292"
162,Klaus,2019,8.1,"114,018",96 min,Sergio Pablos,"('Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones')","$40,000,000",N/A
163,Inside Out,2015,8.1,"636,964",95 min,Pete Docter,"('Amy Poehler', 'Bill Hader', 'Lewis Black')","$175,000,000","$858,848,019"
164,V for Vendetta,2005,8.1,"1,051,748",132 min,James McTeigue,"('Hugo Weaving', 'Natalie Portman', 'Rupert Graves')","$54,000,000","$132,511,035"
165,The Third Man,1949,8.1,"161,892",104 min,Carol Reed,"('Orson Welles', 'Joseph Cotten', 'Alida Valli')",N/A,"$1,226,797"
166,Blade Runner,1982,8.1,"707,855","117 min
|
110 min
            (Workprint Version)",Ridley Scott,"('Harrison Ford', 'Rutger Hauer', 'Sean Young')","$28,000,000","$41,676,878"
167,Smultronstället,1957,8.1,"99,155",91 min,Ingmar Bergman,"('Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin')",N/A,"$14,524"
168,The Bridge on the River Kwai,1957,8.1,"207,316",161 min,David Lean,"('William Holden', 'Alec Guinness', 'Jack Hawkins')","$3,000,000","$27,200,000"
169,Trainspotting,1996,8.1,"645,324","93 min
|
105 min
            (director's cut)",Danny Boyle,"('Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller')","GBP1,500,000","$16,607,872"
170,Babam ve Oglum,2005,8.1,"81,274","112 min
|
113 min
            (DVD)",Cagan Irmak,"('Eser Sariyar', 'Çetin Tekindor', 'Fikret Kuskan')",N/A,"$18,612,999"
171,The Truman Show,1998,8.1,"967,262",103 min,Peter Weir,"('Jim Carrey', 'Ed Harris', 'Laura Linney')","$60,000,000","$264,118,201"
172,Jurassic Park,1993,8.1,"889,070",127 min,Steven Spielberg,"('Sam Neill', 'Laura Dern', 'Jeff Goldblum')","$63,000,000","$1,033,928,303"
173,Warrior,2011,8.1,"443,692",140 min,Gavin O'Connor,"('Tom Hardy', 'Nick Nolte', 'Joel Edgerton')","$25,000,000","$23,308,615"
174,Fargo,1996,8.1,"631,660",98 min,Joel Coen,"('William H. Macy', 'Frances McDormand', 'Steve Buscemi')","$7,000,000","$60,611,975"
175,Salinui chueok,2003,8.1,"149,932","131 min
|
129 min
|
127 min
            (Filmfest Hamburg)",Bong Joon Ho,"('Kang-ho Song', 'Kim Sang-kyung', 'Roe-ha Kim')","$2,800,000","$1,162,593"
176,Finding Nemo,2003,8.1,"968,084",100 min,Andrew Stanton,"('Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould')","$94,000,000","$940,352,645"
177,Gone with the Wind,1939,8.1,"295,455","238 min
|
223 min
            (1969 re-release)
          |
234 min
            (1985 re-release)
          |
224 min
            (1994 re-release)
          |
233 min
            (1989 re-release)
          |
226 min
            (copyright length)",Victor Fleming,"('Clark Gable', 'Vivien Leigh', 'Thomas Mitchell')","$3,977,000","$402,352,579"
178,Kill Bill: Vol. 1,2003,8.1,"1,022,661",111 min,Quentin Tarantino,"('Uma Thurman', 'David Carradine', 'Daryl Hannah')","$30,000,000","$180,906,076"
179,Tôkyô monogatari,1953,8.1,"55,320",136 min,Yasujirô Ozu,"('Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura')",N/A,"$40,468"
180,On the Waterfront,1954,8.1,"145,046",108 min,Elia Kazan,"('Marlon Brando', 'Karl Malden', 'Lee J. Cobb')","$910,000",N/A
181,Stalker,1979,8.1,"120,953",162 min,Andrei Tarkovsky,"('Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn')","RUR6,000,000","$303,815"
182,The General,1926,8.1,"83,080","67 min
|
80 min
            (1982)
          |
83 min
            (1962)
          |
75 min
            (2003 alternate)
          |
78 min",Clyde Bruckman,"('Buster Keaton', 'Marion Mack', 'Glen Cavender')","$750,000",N/A
183,The Deer Hunter,1978,8.1,"317,717",183 min,Michael Cimino,"('Robert De Niro', 'Christopher Walken', 'John Cazale')","$15,000,000","$49,074,379"
184,Relatos salvajes,2014,8.1,"182,870",122 min,Damián Szifron,"('Darío Grandinetti', 'María Marull', 'Mónica Villa')","$3,300,000","$30,642,704"
185,Gran Torino,2008,8.1,"731,961",116 min,Clint Eastwood,"('Clint Eastwood', 'Bee Vang', 'Christopher Carley')","$33,000,000","$269,958,228"
186,Sherlock Jr.,1924,8.1,"43,908","45 min
|
49 min
            (1924)",Buster Keaton,"('Buster Keaton', 'Kathryn McGuire', 'Joe Keaton')",N/A,N/A
187,Room,2015,8.1,"383,813",118 min,Lenny Abrahamson,"('Brie Larson', 'Jacob Tremblay', 'Sean Bridgers')","$13,000,000","$35,401,758"
188,The Grand Budapest Hotel,2014,8.1,"730,038",99 min,Wes Anderson,"('Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric')","$25,000,000","$172,945,750"
189,Before Sunrise,1995,8.1,"280,310",101 min,Richard Linklater,"('Ethan Hawke', 'Julie Delpy', 'Andrea Eckert')","$2,500,000","$5,987,386"
190,Persona,1966,8.1,"107,111",85 min,Ingmar Bergman,"('Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook')",N/A,"$91,335"
191,Mary and Max,2009,8.1,"167,614",92 min,Adam Elliot,"('Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana')","AUD8,240,000","$1,740,429"
192,In the Name of the Father,1993,8.1,"162,235",133 min,Jim Sheridan,"('Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie')","$13,000,000","$65,796,862"
193,Prisoners,2013,8.1,"621,002",153 min,Denis Villeneuve,"('Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis')","$46,000,000","$122,126,687"
194,Mr. Smith Goes to Washington,1939,8.1,"109,064","129 min
|
120 min
            (TV)",Frank Capra,"('James Stewart', 'Jean Arthur', 'Claude Rains')","$1,900,000","$144,738"
195,Gone Girl,2014,8.1,"887,080",149 min,David Fincher,"('Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris')","$61,000,000","$369,330,363"
196,Catch Me If You Can,2002,8.1,"861,142",141 min,Steven Spielberg,"('Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken')","$52,000,000","$352,114,312"
197,To Be or Not to Be,1942,8.1,"31,891",99 min,Ernst Lubitsch,"('Carole Lombard', 'Jack Benny', 'Robert Stack')",N/A,"$4,578,000"
198,Hacksaw Ridge,2016,8.1,"453,914",139 min,Mel Gibson,"('Andrew Garfield', 'Sam Worthington', 'Luke Bracey')","$40,000,000","$180,563,636"
199,Andhadhun,2018,8.1,"78,003",139 min,Sriram Raghavan,"('Ayushmann Khurrana', 'Tabu', 'Radhika Apte')","$4,500,000","$62,475,342"
200,Barry Lyndon,1975,8.1,"154,118",185 min,Stanley Kubrick,"(""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee')","$11,000,000","$198,992"
201,The Big Lebowski,1998,8.1,"749,244",117 min,Joel Coen,"('Jeff Bridges', 'John Goodman', 'Julianne Moore')","$15,000,000","$46,748,047"
202,Ford v Ferrari,2019,8.1,"317,982",152 min,James Mangold,"('Matt Damon', 'Christian Bale', 'Jon Bernthal')","$97,600,000","$225,508,210"
203,12 Years a Slave,2013,8.1,"654,805",134 min,Steve McQueen,"('Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender')","$20,000,000","$187,733,202"
204,La passion de Jeanne d'Arc,1928,8.1,"49,365","110 min
|
88 min
            (1952 re-release)
          |
82 min
            (restored DVD)
          |
97 min
            (DVD)
          |
96 min
            (Blu-ray)
          |
60 min
            (synchronized sound reissue)",Carl Theodor Dreyer,"('Maria Falconetti', 'Eugene Silvain', 'André Berley')",N/A,"$21,877"
205,How to Train Your Dragon,2010,8.1,"681,438",98 min,Dean DeBlois,"('Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse')","$165,000,000","$494,879,471"
206,Mad Max: Fury Road,2015,8.1,"907,235",120 min,George Miller,"('Tom Hardy', 'Charlize Theron', 'Nicholas Hoult')","$150,000,000","$376,097,421"
207,Le salaire de la peur,1953,8.1,"56,161","131 min
|
148 min
            (director's cut)
          |
153 min
            (director's cut)
            (2017 restoration)",Henri-Georges Clouzot,"('Yves Montand', 'Charles Vanel', 'Peter van Eyck')",N/A,"$1,098"
208,Ben-Hur,1959,8.1,"223,539","212 min
|
219 min
            (1970)
          |
224 min
            (1962)
          |
222 min
            (1993 re-release)
          |
214 min
            (DVD)
          |
222 min
            (2005 DVD)",William Wyler,"('Charlton Heston', 'Jack Hawkins', 'Stephen Boyd')","$15,000,000","$74,427,638"
209,Million Dollar Baby,2004,8.1,"647,910",132 min,Clint Eastwood,"('Hilary Swank', 'Clint Eastwood', 'Morgan Freeman')","$30,000,000","$216,763,646"
210,Dead Poets Society,1989,8.1,"439,284","128 min
|
140 min
            (laserdisc)",Peter Weir,"('Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke')","$16,400,000","$235,860,116"
211,Network,1976,8.1,"148,031",121 min,Sidney Lumet,"('Faye Dunaway', 'William Holden', 'Peter Finch')","$3,800,000","$23,690,757"
212,Stand by Me,1986,8.1,"371,577",89 min,Rob Reiner,"('Wil Wheaton', 'River Phoenix', 'Corey Feldman')","$8,000,000","$52,287,414"
213,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"786,143",130 min,David Yates,"('Daniel Radcliffe', 'Emma Watson', 'Rupert Grint')","$125,000,000","$1,342,321,665"
214,Höstsonaten,1978,8.1,"29,178",99 min,Ingmar Bergman,"('Ingrid Bergman', 'Liv Ullmann', 'Lena Nyman')",N/A,"$14,338"
215,Cool Hand Luke,1967,8.1,"165,378",127 min,Stuart Rosenberg,"('Paul Newman', 'George Kennedy', 'Strother Martin')","$3,200,000",N/A
216,Les quatre cents coups,1959,8.1,"108,474",99 min,François Truffaut,"('Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier')",N/A,"$127,244"
217,Ah-ga-ssi,2016,8.1,"121,993","145 min
|
168 min
            (extended)",Park Chan-Wook,"('Kim Min-hee', 'Ha Jung-woo', 'Cho Jin-woong')","KRW10,000,000,000","$37,767,206"
218,Eskiya,1996,8.1,"66,142",128 min,Yavuz Turgul,"('Sener Sen', 'Ugur Yücel', 'Sermin Hürmeriç')","TRL1,200,000",N/A
219,Logan,2017,8.0,"669,978","137 min
|
122 min
            (Mainland China Censored Version)",James Mangold,"('Hugh Jackman', 'Patrick Stewart', 'Dafne Keen')","$97,000,000","$619,179,950"
220,Platoon,1986,8.0,"388,343",120 min,Oliver Stone,"('Charlie Sheen', 'Tom Berenger', 'Willem Dafoe')","$6,000,000","$138,545,632"
221,Hachi: A Dog's Tale,2009,8.0,"261,192",93 min,Lasse Hallström,"('Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa')","$16,000,000","$46,749,646"
222,La haine,1995,8.0,"155,749",98 min,Mathieu Kassovitz,"('Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui')","EUR2,590,000","$302,606"
223,Life of Brian,1979,8.0,"374,316",94 min,Terry Jones,"('Graham Chapman', 'John Cleese', 'Michael Palin')","$4,000,000","$20,742,852"
224,Spotlight,2015,8.0,"432,763",129 min,Tom McCarthy,"('Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams')","$20,000,000","$98,690,254"
225,Hotel Rwanda,2004,8.0,"339,320",121 min,Terry George,"('Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix')","$17,500,000","$33,882,243"
226,Into the Wild,2007,8.0,"585,711",148 min,Sean Penn,"('Emile Hirsch', 'Vince Vaughn', 'Catherine Keener')","$15,000,000","$56,675,895"
227,Rush,2013,8.0,"444,459",123 min,Ron Howard,"('Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde')","$38,000,000","$96,983,009"
228,Rebecca,1940,8.0,"126,904",130 min,Alfred Hitchcock,"('Laurence Olivier', 'Joan Fontaine', 'George Sanders')","$1,288,000","$72,275"
229,Andrei Rublev,1966,8.0,"48,816","165 min
            (re-edited)
          |
186 min
            (re-edited)
          |
183 min
            (2004 re-release)
          |
205 min
            (original length)
          |
145 min
            (UK)
          |
183 min
            (Blu-ray)",Andrei Tarkovsky,"('Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko')","RUR1,000,000","$145,491"
230,"Monsters, Inc.",2001,8.0,"833,677",92 min,Pete Docter,"('Billy Crystal', 'John Goodman', 'Mary Gibbs')","$115,000,000","$579,707,738"
231,Amores perros,2000,8.0,"227,573","154 min
|
115 min
            (TV)",Alejandro G. Iñárritu,"('Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo')","$2,000,000","$20,908,467"
232,Drishyam 2,2021,8.0,"27,093",N/A,Jeethu Joseph,"('Mohanlal', 'Meena', 'Ansiba')",N/A,N/A
233,Rocky,1976,8.0,"530,316","120 min
|
145 min
            (director's cut)",John G. Avildsen,"('Sylvester Stallone', 'Talia Shire', 'Burt Young')","$960,000","$117,250,382"
234,Gangs of Wasseypur,2012,8.0,"86,426","321 min
            (2 parts)",Anurag Kashyap,"('Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui')","INR184,000,000","$4,384,642"
235,Ratsasan,2018,8.0,"31,146","170 min
|
152 min
            (theatrical)",Ram Kumar,"('Vishnu Vishal', 'Amala Paul', 'Radha Ravi')",N/A,N/A
236,Koe no katachi,2016,8.0,"56,190","130 min
|
111 min
            (cut)",Naoko Yamada,"('Miyu Irino', 'Saori Hayami', 'Aoi Yûki')",N/A,"$30,490,447"
237,Fa yeung nin wah,2000,8.0,"131,119",98 min,Kar-Wai Wong,"('Tony Chiu-Wai Leung', 'Maggie Cheung', 'Ping Lam Siu')",N/A,"$14,193,791"
238,Kaze no tani no Naushika,1984,8.0,"155,733","117 min
|
95 min
            (1985)
            (edited)",Hayao Miyazaki,"('Sumi Shimamoto', 'Mahito Tsujimura', 'Hisako Kyôda')","$1,000,000","$8,736,506"
239,It Happened One Night,1934,8.0,"96,366","105 min
|
65 min
            (cut TV)",Frank Capra,"('Clark Gable', 'Claudette Colbert', 'Walter Connolly')","$325,000",N/A
240,La battaglia di Algeri,1966,8.0,"54,827",121 min,Gillo Pontecorvo,"('Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi')","$800,000","$964,028"
241,Before Sunset,2004,8.0,"242,752",80 min,Richard Linklater,"('Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff')","$2,700,000","$15,936,507"
242,Du rififi chez les hommes,1955,8.0,"30,779",118 min,Jules Dassin,"('Jean Servais', 'Carl Möhner', 'Robert Manuel')",N/A,"$521,342"
243,Soul,2020,8.0,"251,897",100 min,Pete Docter,"('Jamie Foxx', 'Tina Fey', 'Graham Norton')",N/A,"$118,999,757"
244,The Princess Bride,1987,8.0,"400,205",98 min,Rob Reiner,"('Cary Elwes', 'Mandy Patinkin', 'Robin Wright')","$16,000,000","$30,902,642"
245,Fanny och Alexander,1982,8.0,"58,914","188 min
|
312 min
            (director's cut)",Ingmar Bergman,"('Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson')","$6,000,000","$6,795,771"
246,Trois couleurs: Rouge,1994,8.0,"93,800",99 min,Krzysztof Kieslowski,"('Irène Jacob', 'Jean-Louis Trintignant', 'Frédérique Feder')",N/A,"$3,581,969"
247,Sunrise: A Song of Two Humans,1927,8.0,"47,826","94 min
|
79 min
            (edited)",F.W. Murnau,"(""George O'Brien"", 'Janet Gaynor', 'Margaret Livingston')","$200,000","$121,107"
248,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.0,"42,444",87 min,Hideaki Anno,"('Megumi Ogata', 'Megumi Hayashibara', 'Yûko Miyamura')",N/A,N/A
249,Drishyam,2013,8.0,"36,357",N/A,Jeethu Joseph,"('Mohanlal', 'Meena', 'Asha Sharath')","INR35,000,000","$13,076,265"
250,Miracle in Cell No. 7,2019,8.0,"39,861",132 min,Mehmet Ada Öztekin,"('Aras Bulut Iynemli', 'Nisa Sofiya Aksongur', 'Deniz Baysal')",N/A,"$17,163,660"
